Temperature,Rainfall,Humidity,Moisture,Crop
23,221,79,397,Rice
16,86,85,625,Tomato
23,68,51,421,Wheat
15,47,62,422,Barley
26,91,32,367,chile
25,274,70,395,Rice
16,103,80,523,Tomato
24,99,53,406,Wheat
17,44,66,394,Barley
19,91,40,362,chile
25,343,78,402,Rice
13,76,83,544,Tomato
23,52,60,417,Wheat
13,42,66,420,Barley
25,92,37,351,chile
25,296,74,423,Rice
14,104,89,462,Tomato
22,69,53,414,Wheat
27,48,64,396,Barley
22,108,40,308,chile
25,264,72,430,Rice
16,82,86,554,Tomato
23,92,57,410,Wheat
24,46,67,410,Barley
26,91,35,332,chile
21,261,66,397,Rice
15,134,88,493,Tomato
24,55,53,419,Wheat
20,50,62,390,Barley
25,99,32,306,chile
23,336,64,419,Rice
15,85,81,625,Tomato
21,46,50,418,Wheat
7,44,63,380,Barley
19,105,39,354,chile
24,328,70,409,Rice
16,122,79,545,Tomato
22,92,50,406,Wheat
13,47,67,398,Barley
19,96,32,335,chile
23,184,76,405,Rice
14,121,75,453,Tomato
22,72,51,428,Wheat
8,46,61,382,Barley
19,96,34,325,chile
23,294,68,399,Rice
16,148,76,621,Tomato
24,35,54,441,Wheat
14,49,68,412,Barley
18,95,38,313,chile
23,349,62,407,Rice
13,145,75,566,Tomato
24,69,55,449,Wheat
26,45,64,394,Barley
23,82,35,397,chile
24,183,65,428,Rice
13,144,81,477,Tomato
22,60,55,420,Wheat
10,49,68,380,Barley
25,83,33,349,chile
24,304,62,412,Rice
16,92,79,465,Tomato
22,52,53,413,Wheat
24,45,66,422,Barley
21,116,33,396,chile
21,335,61,422,Rice
15,115,78,478,Tomato
24,35,57,433,Wheat
14,45,69,424,Barley
25,102,31,352,chile
22,341,64,388,Rice
13,77,85,537,Tomato
24,47,60,440,Wheat
14,43,64,416,Barley
23,116,38,368,chile
24,341,72,416,Rice
16,117,77,589,Tomato
21,82,56,403,Wheat
15,44,61,409,Barley
22,87,39,337,chile
27,291,66,383,Rice
15,136,84,467,Tomato
23,32,50,413,Wheat
16,48,68,417,Barley
22,103,37,348,chile
23,282,78,427,Rice
13,143,77,597,Tomato
21,47,58,416,Wheat
22,43,60,397,Barley
19,112,33,362,chile
21,298,69,413,Rice
13,102,83,469,Tomato
23,86,55,427,Wheat
18,46,60,426,Barley
18,80,37,338,chile
22,176,64,429,Rice
16,131,80,599,Tomato
23,98,59,445,Wheat
20,44,63,398,Barley
21,97,35,328,chile
27,278,65,414,Rice
15,134,85,540,Tomato
24,48,56,444,Wheat
8,39,70,414,Barley
25,91,39,343,chile
24,336,67,422,Rice
15,131,83,518,Tomato
23,62,50,430,Wheat
15,46,68,389,Barley
20,99,39,360,chile
23,210,64,395,Rice
13,72,76,549,Tomato
23,42,52,436,Wheat
23,41,69,387,Barley
23,89,35,400,chile
26,301,71,390,Rice
14,149,86,484,Tomato
21,47,59,419,Wheat
6,43,61,417,Barley
19,95,36,373,chile
22,266,77,400,Rice
13,140,76,635,Tomato
23,74,56,404,Wheat
15,39,63,380,Barley
19,82,30,360,chile
24,194,63,406,Rice
16,142,83,476,Tomato
22,66,60,433,Wheat
8,40,69,401,Barley
24,100,35,341,chile
22,219,76,425,Rice
13,83,83,650,Tomato
